Filename	GC	GC_stdev	Main_genome_contig_total	Main_genome_contig_sequence_total
Columbia_MO_20240430_r1_no_rrna.fastq.gz	0.4033	0.0752	355571448	51133.719
Columbia_MO_20240430_r1_rrna.fastq.gz	0.4784	0.0627	701227138	98255.844
Columbia_MO_20240430_r2_no_rrna.fastq.gz	0.4023	0.0742	355571448	51130.414
Columbia_MO_20240430_r2_rrna.fastq.gz	0.4778	0.0645	701227138	98254.641
Columbia_MO_20240507_r1_no_rrna.fastq.gz	0.3789	0.0725	576011319	84136.703
Columbia_MO_20240507_r1_rrna.fastq.gz	0.4898	0.057	581167017	82211.188
Columbia_MO_20240507_r2_no_rrna.fastq.gz	0.3775	0.0712	576011319	84132.414
Columbia_MO_20240507_r2_rrna.fastq.gz	0.4876	0.0576	581167017	82209.836
Columbia_MO_20240514_r1_no_rrna.fastq.gz	0.3879	0.0686	539495989	78628.742
Columbia_MO_20240514_r1_rrna.fastq.gz	0.4946	0.0512	537948508	76114.844
Columbia_MO_20240514_r2_no_rrna.fastq.gz	0.3874	0.0671	539495989	78624.211
Columbia_MO_20240514_r2_rrna.fastq.gz	0.4924	0.0511	537948508	76112.578
Columbia_MO_20240521_r1_no_rrna.fastq.gz	0.3912	0.0719	430519842	62604.75
Columbia_MO_20240521_r1_rrna.fastq.gz	0.4837	0.0464	828774366	116086.391
Columbia_MO_20240521_r2_no_rrna.fastq.gz	0.3923	0.0705	430519842	62601.387
Columbia_MO_20240521_r2_rrna.fastq.gz	0.4843	0.0476	828774366	116083.055
Columbia_MO_20240528_r1_no_rrna.fastq.gz	0.3867	0.0715	502515457	73594.039
Columbia_MO_20240528_r1_rrna.fastq.gz	0.483	0.0564	556317433	79192.352
Columbia_MO_20240528_r2_no_rrna.fastq.gz	0.3875	0.0705	502515457	73591.258
Columbia_MO_20240528_r2_rrna.fastq.gz	0.4836	0.0571	556317433	79190.945
Columbia_MO_20240604_r1_no_rrna.fastq.gz	0.3727	0.0741	404767264	59939.52
Columbia_MO_20240604_r1_rrna.fastq.gz	0.4659	0.0582	843966870	121760.594
Columbia_MO_20240604_r2_no_rrna.fastq.gz	0.3737	0.0731	404767264	59937.379
Columbia_MO_20240604_r2_rrna.fastq.gz	0.4656	0.0596	843966870	121759.656
Columbia_MO_20240611_r1_no_rrna.fastq.gz	0.3583	0.0649	1586634730	229063.016
Columbia_MO_20240611_r1_rrna.fastq.gz	0.4643	0.0547	478299296	64195.176
Columbia_MO_20240611_r2_no_rrna.fastq.gz	0.358	0.0637	1586634730	229075.125
Columbia_MO_20240611_r2_rrna.fastq.gz	0.4613	0.055	478299296	64201.684
Columbia_MO_20240618_r1_no_rrna.fastq.gz	0.3663	0.0663	759563613	110695.445
Columbia_MO_20240618_r1_rrna.fastq.gz	0.4608	0.0573	126400774	17233.691
Columbia_MO_20240618_r2_no_rrna.fastq.gz	0.3685	0.0662	759563613	110699.539
Columbia_MO_20240618_r2_rrna.fastq.gz	0.4638	0.0589	126400774	17234.313
Columbia_MO_20240625_r1_no_rrna.fastq.gz	0.3442	0.0651	1558735009	227100.734
Columbia_MO_20240625_r1_rrna.fastq.gz	0.4603	0.068	308635772	42949.57
Columbia_MO_20240625_r2_no_rrna.fastq.gz	0.3435	0.0647	1558735009	227106.063
Columbia_MO_20240625_r2_rrna.fastq.gz	0.4596	0.0689	308635772	42950.336
Columbia_MO_20240702_r1_no_rrna.fastq.gz	0.361	0.0722	1365150492	198286.906
Columbia_MO_20240702_r1_rrna.fastq.gz	0.4444	0.0756	538578323	75288.859
Columbia_MO_20240702_r2_no_rrna.fastq.gz	0.3624	0.0718	1365150492	198298.781
Columbia_MO_20240702_r2_rrna.fastq.gz	0.4443	0.0774	538578323	75289.813
Columbia_MO_20240709_r1_no_rrna.fastq.gz	0.3716	0.0739	94048430	13589.014
Columbia_MO_20240709_r1_rrna.fastq.gz	0.429	0.0718	151416654	21332.521
Columbia_MO_20240709_r2_no_rrna.fastq.gz	0.3711	0.074	94048430	13589.394
Columbia_MO_20240709_r2_rrna.fastq.gz	0.4281	0.0729	151416654	21331.881
Columbia_MO_20240716_r1_no_rrna.fastq.gz	0.4783	0.1148	515324993	73564.977
Columbia_MO_20240716_r1_rrna.fastq.gz	0.5	0.0487	612685776	84882.109
Columbia_MO_20240716_r2_no_rrna.fastq.gz	0.4806	0.115	515324993	73569.43
Columbia_MO_20240716_r2_rrna.fastq.gz	0.5028	0.049	612685776	84881.719
Columbia_MO_20240723_r1_no_rrna.fastq.gz	0.4791	0.1112	345323587	49086.914
Columbia_MO_20240723_r1_rrna.fastq.gz	0.5043	0.0463	1478759044	199863.141
Columbia_MO_20240723_r2_no_rrna.fastq.gz	0.481	0.1112	345323587	49080.371
Columbia_MO_20240723_r2_rrna.fastq.gz	0.5058	0.0469	1478759044	199847.688
Columbia_MO_20240730_r1_no_rrna.fastq.gz	0.4806	0.1135	614848057	88758.664
Columbia_MO_20240730_r1_rrna.fastq.gz	0.501	0.0532	601015509	83686.641
Columbia_MO_20240730_r2_no_rrna.fastq.gz	0.483	0.1136	614848057	88755.922
Columbia_MO_20240730_r2_rrna.fastq.gz	0.5035	0.0535	601015509	83680.625
Columbia_MO_20240806_r1_no_rrna.fastq.gz	0.4823	0.1048	99776826	14147.369
Columbia_MO_20240806_r1_rrna.fastq.gz	0.5022	0.0482	950038671	133673.172
Columbia_MO_20240806_r2_no_rrna.fastq.gz	0.4814	0.1053	99776826	14145.567
Columbia_MO_20240806_r2_rrna.fastq.gz	0.502	0.048	950038671	133666.953
Columbia_MO_20240813_r1_no_rrna.fastq.gz	0.4963	0.0889	320595319	31993.23
Columbia_MO_20240813_r1_rrna.fastq.gz	0.5156	0.0537	397991923	39664.355
Columbia_MO_20240813_r2_no_rrna.fastq.gz	0.5071	0.0905	320595319	31985.479
Columbia_MO_20240813_r2_rrna.fastq.gz	0.5204	0.0543	397991923	39665.887
Columbia_MO_20240820_r1_no_rrna.fastq.gz	0.4824	0.1058	209802081	20932.037
Columbia_MO_20240820_r1_rrna.fastq.gz	0.5212	0.0554	385976345	38456.715
Columbia_MO_20240820_r2_no_rrna.fastq.gz	0.4859	0.1063	209802081	20930.334
Columbia_MO_20240820_r2_rrna.fastq.gz	0.5218	0.0563	385976345	38460.82
Columbia_MO_20240827_r1_no_rrna.fastq.gz	0.5369	0.1117	98158356	9771.98
Columbia_MO_20240827_r1_rrna.fastq.gz	0.5047	0.051	514243373	51162.637
Columbia_MO_20240827_r2_no_rrna.fastq.gz	0.5473	0.111	98158356	9771.885
Columbia_MO_20240827_r2_rrna.fastq.gz	0.5112	0.0489	514243373	51164.105
Columbia_MO_20240903_r1_no_rrna.fastq.gz	0.4648	0.1224	268659659	26827.203
Columbia_MO_20240903_r1_rrna.fastq.gz	0.5215	0.0544	385776819	38488.059
Columbia_MO_20240903_r2_no_rrna.fastq.gz	0.4661	0.1238	268659659	26826.906
Columbia_MO_20240903_r2_rrna.fastq.gz	0.5213	0.0545	385776819	38490.984
Columbia_MO_20240910_r1_no_rrna.fastq.gz	0.5097	0.1229	178421556	17777.352
Columbia_MO_20240910_r1_rrna.fastq.gz	0.5234	0.0526	451329023	44908.512
Columbia_MO_20240910_r2_no_rrna.fastq.gz	0.5122	0.1246	178421556	17778.754
Columbia_MO_20240910_r2_rrna.fastq.gz	0.5233	0.0529	451329023	44914.27
Columbia_MO_20240917_r1_no_rrna.fastq.gz	0.4846	0.1138	109450082	15552.146
Columbia_MO_20240917_r1_rrna.fastq.gz	0.5003	0.0441	654255765	90034.211
Columbia_MO_20240917_r2_no_rrna.fastq.gz	0.4862	0.1137	109450082	15553.646
Columbia_MO_20240917_r2_rrna.fastq.gz	0.501	0.0446	654255765	90044.008
Columbia_MO_20240924_r1_no_rrna.fastq.gz	0.5065	0.1131	213251343	30402.971
Columbia_MO_20240924_r1_rrna.fastq.gz	0.5193	0.0509	613864061	85416.984
Columbia_MO_20240924_r2_no_rrna.fastq.gz	0.5056	0.1134	213251343	30405.254
Columbia_MO_20240924_r2_rrna.fastq.gz	0.5181	0.0511	613864061	85425.18
Columbia_MO_20241001_r1_no_rrna.fastq.gz	0.5178	0.1137	183617960	26400.732
Columbia_MO_20241001_r1_rrna.fastq.gz	0.5186	0.0537	227477652	31984.182
Columbia_MO_20241001_r2_no_rrna.fastq.gz	0.5206	0.1136	183617960	26403.09
Columbia_MO_20241001_r2_rrna.fastq.gz	0.5211	0.054	227477652	31983.545
Columbia_MO_20241008_r1_no_rrna.fastq.gz	0.5721	0.1176	198373551	28242.645
Columbia_MO_20241008_r1_rrna.fastq.gz	0.514	0.0471	248666187	33997.699
Columbia_MO_20241008_r2_no_rrna.fastq.gz	0.5753	0.1174	198373551	28247.059
Columbia_MO_20241008_r2_rrna.fastq.gz	0.5166	0.0472	248666187	33995.348
Columbia_MO_20241015_r1_no_rrna.fastq.gz	0.512	0.1122	328675969	46935.574
Columbia_MO_20241015_r1_rrna.fastq.gz	0.538	0.0418	960454743	136502.125
Columbia_MO_20241015_r2_no_rrna.fastq.gz	0.5126	0.1126	328675969	46948.508
Columbia_MO_20241015_r2_rrna.fastq.gz	0.5384	0.0414	960454743	136512.141
Columbia_MO_20241022_r1_no_rrna.fastq.gz	0.5021	0.1165	365991394	51381.094
Columbia_MO_20241022_r1_rrna.fastq.gz	0.5023	0.0566	803118917	111963.445
Columbia_MO_20241022_r2_no_rrna.fastq.gz	0.5027	0.1168	365991394	51403.195
Columbia_MO_20241022_r2_rrna.fastq.gz	0.5037	0.056	803118917	111983.008
Columbia_MO_20241029_r1_no_rrna.fastq.gz	0.4683	0.1059	332797659	47308.43
Columbia_MO_20241029_r1_rrna.fastq.gz	0.5095	0.055	593484551	83145.648
Columbia_MO_20241029_r2_no_rrna.fastq.gz	0.4685	0.1065	332797659	47305.594
Columbia_MO_20241029_r2_rrna.fastq.gz	0.5098	0.0552	593484551	83146.656
Columbia_MO_20241105_r1_no_rrna.fastq.gz	0.4816	0.1052	97959450	13933.709
Columbia_MO_20241105_r1_rrna.fastq.gz	0.5077	0.0452	988371793	137177.938
Columbia_MO_20241105_r2_no_rrna.fastq.gz	0.4812	0.1059	97959450	13932.886
Columbia_MO_20241105_r2_rrna.fastq.gz	0.5078	0.0453	988371793	137187.531
Columbia_MO_20241112_r1_no_rrna.fastq.gz	0.5308	0.1061	39612266	5626.289
Columbia_MO_20241112_r1_rrna.fastq.gz	0.5042	0.0382	639165866	90148.727
Columbia_MO_20241112_r2_no_rrna.fastq.gz	0.535	0.1066	39612266	5626.352
Columbia_MO_20241112_r2_rrna.fastq.gz	0.508	0.039	639165866	90153.094
Columbia_MO_20241119_r1_no_rrna.fastq.gz	0.5156	0.1084	44697762	6334.971
Columbia_MO_20241119_r1_rrna.fastq.gz	0.4973	0.0424	661485383	91652.688
Columbia_MO_20241119_r2_no_rrna.fastq.gz	0.5198	0.1087	44697762	6335.023
Columbia_MO_20241119_r2_rrna.fastq.gz	0.5008	0.0429	661485383	91657.328
Columbia_MO_20241126_r1_no_rrna.fastq.gz	0.4895	0.1012	337593782	47182.223
Columbia_MO_20241126_r1_rrna.fastq.gz	0.5001	0.0563	550337547	75482.32
Columbia_MO_20241126_r2_no_rrna.fastq.gz	0.4934	0.1016	337593782	47181.766
Columbia_MO_20241126_r2_rrna.fastq.gz	0.5035	0.0564	550337547	75483.688
Columbia_MO_20241203_r1_no_rrna.fastq.gz	0.4881	0.1056	127260637	18084.908
Columbia_MO_20241203_r1_rrna.fastq.gz	0.5089	0.045	538006706	74682.992
Columbia_MO_20241203_r2_no_rrna.fastq.gz	0.4913	0.1058	127260637	18084.324
Columbia_MO_20241203_r2_rrna.fastq.gz	0.512	0.0452	538006706	74683.711
Columbia_MO_20241210_r1_no_rrna.fastq.gz	0.48	0.1067	233222416	33318.762
Columbia_MO_20241210_r1_rrna.fastq.gz	0.5059	0.0533	504750731	70452.625
Columbia_MO_20241210_r2_no_rrna.fastq.gz	0.4826	0.1069	233222416	33318.227
Columbia_MO_20241210_r2_rrna.fastq.gz	0.5084	0.0534	504750731	70455.633
Columbia_MO_20241217_r1_no_rrna.fastq.gz	0.4739	0.0953	120465091	17763.486
Columbia_MO_20241217_r1_rrna.fastq.gz	0.511	0.0448	854001852	124136.734
Columbia_MO_20241217_r2_no_rrna.fastq.gz	0.4734	0.0954	120465091	17763.227
Columbia_MO_20241217_r2_rrna.fastq.gz	0.5109	0.045	854001852	124150.75
Columbia_MO_20241224_r1_no_rrna.fastq.gz	0.4721	0.1033	430521834	62362.84
Columbia_MO_20241224_r1_rrna.fastq.gz	0.5026	0.0533	891596411	127962.539
Columbia_MO_20241224_r2_no_rrna.fastq.gz	0.4726	0.1031	430521834	62363.762
Columbia_MO_20241224_r2_rrna.fastq.gz	0.5027	0.0533	891596411	127970.211
Columbia_MO_20241231_r1_no_rrna.fastq.gz	0.4811	0.1101	139559414	19897.209
Columbia_MO_20241231_r1_rrna.fastq.gz	0.5045	0.0445	1364295882	189800.75
Columbia_MO_20241231_r2_no_rrna.fastq.gz	0.4818	0.1104	139559414	19897.344
Columbia_MO_20241231_r2_rrna.fastq.gz	0.5043	0.0449	1364295882	189822.469
